26, 23, 24, 24, 24, 23, 23, 25, 25, 26, 24, 25, 25, 25, 26, 22, 22,
26, 22, 24, 23, 25, 25, 26, 27, 25, 24, 25, 22, 24, 26, 22, 22, 22,
24, 21, 23, 23, 24, 24, 22, 25, 24, 24, 23, 22, 22, 23, 24, 21, 23,
25, 24, 24, 22, 22, 23, 25, 23, 25, 24, 23, 23, 26, 23, 26, 24, 26,
22, 23, 24, 22, 24, 24, 25, 22, 24, 25, 23, 26, 24, 25, 23, 21, 24,
26, 23, 22, 24, 27, 23, 26, 22, 26, 22, 23, 24, 26, 23, 25, 24, 23,
23, 23, 20, 24, 23, 22, 23, 27, 24, 25, 23, 24, 25, 24, 23, 24, 25,
24, 24, 22, 25, 26, 22, 22, 24, 23, 23, 24, 26, 23, 25, 23, 26, 22,
25, 22, 26, 26, 23, 22, 23, 23, 24, 23, 26, 22, 25, 23, 25, 22, 24,
23, 22, 25, 23, 24, 25, 22, 26, 24, 24, 25, 24, 26, 24, 24, 25, 22,
21, 25, 23, 26, 25, 23, 22, 25, 24, 23, 23, 24, 25, 25, 25, 25, 24,
25, 24, 25, 25, 25, 23, 24, 22, 25, 23, 24, 24, 25, 24, 21, 27, 23,
25, 24, 24, 23, 24, 25, 25, 25, 22, 25, 21, 23, 22, 25, 22, 23, 23,
25, 24, 24, 25, 24, 27, 26, 27, 22, 25, 25, 24, 26, 24, 23, 25, 23,
21, 23, 27, 23, 24, 23, 24, 25, 25, 22, 25, 23, 24, 27, 25, 23, 23,
22, 23, 27, 24, 24, 24, 21, 23, 22, 23, 26, 24, 24, 23, 23, 24, 23,
22, 26, 23, 23, 24, 25, 25, 24, 23, 23, 24, 26, 22, 26, 23, 23, 24,
26, 24, 22, 26, 24, 22, 25, 25, 23, 27, 23, 28, 23, 23, 25, 26, 25,
24, 24, 22, 25, 24, 23, 23, 24, 24, 24, 23, 26, 21, 26, 22, 26, 23,
21, 26, 25, 23, 26, 24, 23, 22, 23, 23, 26, 22, 23, 24, 24, 22, 24,
24, 23, 24, 26, 24, 25, 25, 22, 28, 26, 23, 23, 25, 24, 24, 25, 24,
23, 26, 26, 25, 23, 24, 26, 22, 23, 23, 24, 23, 26, 26, 24, 26, 25,
23, 26, 25, 23, 27, 27, 22, 24, 24, 24, 24, 24, 25, 27, 24, 23, 23,
24, 25, 26, 23, 23, 24, 26, 26, 24, 25, 22, 26, 25, 26, 22, 24, 24,
22, 22, 21, 27, 23, 24, 24, 22, 25, 26, 26, 22, 22, 24, 23, 23, 23,
22, 23, 23, 24, 23, 22, 21, 23, 24, 24, 26, 23, 25, 24, 26, 25, 24,
23, 23, 24, 26, 22, 25, 23, 25, 24, 22, 23, 23, 25, 23, 23, 25, 25,
26, 23, 24, 26, 25, 23, 26, 25, 25, 24, 25, 24, 23, 24, 22, 23, 25,
23, 20, 24, 26, 25, 26, 24, 21, 23, 23, 23, 23, 26, 24, 27, 23, 25,
23, 25, 23, 26, 21, 25, 25, 22, 24, 25, 23, 22, 22, 25, 22, 24, 24,
25, 25, 25, 23, 22, 22, 24, 23, 27, 27, 24, 22, 23, 27, 25, 24, 22,
21, 23, 25, 26, 26, 27, 24, 23, 25, 22, 22, 22, 28, 23, 24, 22, 23,
24, 23, 27, 21, 24, 23, 23, 21, 25, 24, 26, 23, 25, 22, 24, 23, 23,
22, 24, 27, 22, 23, 23, 22, 27, 24, 25, 25, 23, 24, 22, 23, 23, 26,
25, 25, 25, 24, 24, 23, 23, 26, 25, 21, 27, 25, 23, 24, 23, 24, 23,
25, 23, 25, 25, 22
