19,18,20,18,19,17,19,18,21,20,19,18,19,19,17,17,19,21,17,18,20,17,20,17,
19,18,17,17,17,18,20,17,19,18,18,20,18,17,21,20,17,18,17,18,18,18,17,17,
18,19,20,19,18,17,30,19,18,18,19,19,17,18,17,17,18,20,19,18,18,19,17,17,
17,19,19,18,18,18,18,17,22,21,17,19,17,18,19,18,18,18,17,19,18,20,18,18,
17,18,19,18,17,18,17,18,18,17,21,17,19,18,18,19,17,18,19,18,18,17,19,17,
17,19,17,18,19,18,18,17,17,19,18,17,17,18,18,18,18,29,19,19,18,18,17,18,
19,18,17,19,18,18,18,20,17,17,17,20,17,18,18,19,19,21,18,17,17,19,19,19,
19,17,19,19,18,18,17,18,17,17,18,18,19,18,21,19,18,18,17,18,18,17,17,20,
18,18,20,18,17,17,19,26,19,21,19,22,18,19,18,17,18,17,17,18,18,19,18,18,
18,18,18,18,18,17,19,19,19,20,17,20,18,17,17,18,19,18,18,18,18,17,20,17,
19,17,18,20,19,18,19,19,17,19,18,18,19,19,18,22,19,29,18,18,18,18,17,17,
17,18,18,19,17,21,20,19,18,18,18,18,17,18,17,19,18,17,17,17,19,17,18,17,
17,17,24,17,21,18,19,18,19,19,19,20
